YEAR,regime_var,regime,p_turnout,p_dpp,p_kmt,p_other,p_turnout_base,p_dpp_base,p_kmt_base,p_other_base,d_turnout,d_dpp,d_kmt,d_other,coding
2016,Identity,Both,0.8028257456828886,0.34337113805240516,0.5146656237778647,0.12592882283926476,0.8249607535321821,0.588011417697431,0.30523311132254993,0.09895337773549001,-2.2135007849293564,-24.464027964502588,20.94325124553148,2.697544510377475,conservative
2016,Identity,Chinese,0.7532182103610675,0.22300958732805334,0.5691954981242184,0.14026677782409339,0.8249607535321821,0.588011417697431,0.30523311132254993,0.09895337773549001,-7.174254317111462,-36.50018303693777,26.39623868016685,4.131340008860337,conservative
2016,Identity,Taiwanese,0.8397174254317111,0.7575247709852309,0.15573004299869134,0.08319312020938494,0.8249607535321821,0.588011417697431,0.30523311132254993,0.09895337773549001,1.4756671899529006,16.951335328779983,-14.95030683238586,-1.5760257526105077,conservative
2016,MediaExposure,Blue,0.8053375196232339,0.5456140350877193,0.33060428849902534,0.11189083820662768,0.8249607535321821,0.588011417697431,0.30523311132254993,0.09895337773549001,-1.9623233908948268,-4.239738260971171,2.5371177176475412,1.2937460471137667,conservative
2016,MediaExposure,Green,0.8208791208791208,0.5607190667431631,0.30196978389749474,0.12373302734748517,0.8249607535321821,0.588011417697431,0.30523311132254993,0.09895337773549001,-0.40816326530612734,-2.7292350954267963,-0.3263327425055196,2.4779649611995165,conservative
2016,MediaExposure,None,0.8262166405023548,0.5897776933307999,0.29906897206916205,0.10051301539046172,0.8249607535321821,0.588011417697431,0.30523311132254993,0.09895337773549001,0.12558869701726483,0.17662756333688412,-0.6164139253387879,0.15596376549717045,conservative
2016,Tondu,Independence,0.7971742543171114,0.7445844820795589,0.09925167388735723,0.1234738085860575,0.8249607535321821,0.588011417697431,0.30523311132254993,0.09895337773549001,-2.7786499215070704,15.657306438212782,-20.59814374351927,2.452043085056749,conservative
2016,Tondu,StatusQuo,0.8178963893249608,0.4942418426103647,0.3934740882917466,0.109021113243762,0.8249607535321821,0.588011417697431,0.30523311132254993,0.09895337773549001,-0.7064364207221341,-9.376957508706635,8.824097696919669,1.0067735508271989,conservative
2016,Tondu,Unification,0.8061224489795918,0.4282375851996105,0.40545277507302824,0.14469328140214216,0.8249607535321821,0.588011417697431,0.30523311132254993,0.09895337773549001,-1.883830455259028,-15.97738324978205,10.02196637504783,4.573990366665215,conservative
2020,Identity,Both,0.839590942293645,0.3645380198364364,0.5550722115886549,0.06873151209326606,0.8514243973703434,0.6029512697323267,0.33493479752916955,0.05696636925188744,-1.1833455076698418,-23.84132498958903,22.01374140594854,1.176514284137862,conservative
2020,Identity,Chinese,0.7367421475529584,0.21197699781875867,0.5998413642673012,0.115804084870117,0.8514243973703434,0.6029512697323267,0.33493479752916955,0.05696636925188744,-11.468224981738494,-39.0974271913568,26.490656673813163,5.883771561822956,conservative
2020,Identity,Taiwanese,0.8565376186997808,0.7946443800102336,0.16373870032406618,0.04008186935016203,0.8514243973703434,0.6029512697323267,0.33493479752916955,0.05696636925188744,0.5113221329437478,19.16931102779069,-17.119609720510336,-1.6884499901725407,conservative
2020,MediaExposure,Blue,0.8444119795471147,0.5461937716262976,0.36972318339100346,0.06885813148788927,0.8514243973703434,0.6029512697323267,0.33493479752916955,0.05696636925188744,-0.70124178232287,-5.675749810602914,3.4788385861833913,1.1891762236001837,conservative
2020,MediaExposure,Green,0.8099342585829072,0.6194083694083694,0.31493506493506496,0.039862914862914864,0.8514243973703434,0.6029512697323267,0.33493479752916955,0.05696636925188744,-4.149013878743613,1.6457099676042697,-1.9999732594104591,-1.7103454388972574,conservative
2020,MediaExposure,None,0.8447041636230825,0.6210653753026635,0.29609131788308546,0.07212037357315808,0.8514243973703434,0.6029512697323267,0.33493479752916955,0.05696636925188744,-0.6720233747260829,1.811410557033677,-3.884347964608409,1.515400432127064,conservative
2020,Tondu,Independence,0.8559532505478451,0.7661717016555726,0.19508448540706605,0.02816180235535074,0.8514243973703434,0.6029512697323267,0.33493479752916955,0.05696636925188744,0.4528853177501735,16.322043192324585,-13.98503121221035,-2.8804566896536694,conservative
2020,Tondu,StatusQuo,0.8194302410518627,0.5193439115706899,0.39900160456409345,0.07773221608129792,0.8514243973703434,0.6029512697323267,0.33493479752916955,0.05696636925188744,-3.199415631848068,-8.360735816163679,6.40668070349239,2.076584682941048,conservative
2020,Tondu,Unification,0.7864134404674945,0.35519227196730446,0.48337358350362253,0.13263979193758127,0.8514243973703434,0.6029512697323267,0.33493479752916955,0.05696636925188744,-6.501095690284886,-24.775899776502225,14.843878597445299,7.567342268569383,conservative
2024,Identity,Both,0.8330039525691699,0.18386714116251482,0.5371293001186239,0.2756820877817319,0.8573122529644269,0.4077916090364223,0.34324573536191794,0.2425080682342093,-2.4308300395257,-22.39244678739075,19.388356475670598,3.317401954752261,conservative
2024,Identity,Chinese,0.675296442687747,0.09803921568627451,0.5873573309920983,0.22095405326309628,0.8573122529644269,0.4077916090364223,0.34324573536191794,0.2425080682342093,-18.20158102766799,-30.97523933501478,24.411159563018035,-2.1554014971113036,conservative
2024,Identity,Taiwanese,0.8804347826086957,0.6502805836139169,0.1681257014590348,0.178675645342312,0.8573122529644269,0.4077916090364223,0.34324573536191794,0.2425080682342093,2.3122529644268752,24.248897457749464,-17.512003390288314,-6.383242289189731,conservative
2024,MediaExposure,Blue,0.8640316205533597,0.3847209515096066,0.38083257090576395,0.2291857273559012,0.8573122529644269,0.4077916090364223,0.34324573536191794,0.2425080682342093,0.6719367588932768,-2.3070657526815697,3.758683554384601,-1.3322340878308108,conservative
2024,MediaExposure,Green,0.8456521739130435,0.47698060294461325,0.2911895302640804,0.1984108436550596,0.8573122529644269,0.4077916090364223,0.34324573536191794,0.2425080682342093,-1.1660079051383443,6.918899390819094,-5.205620509783754,-4.409722457914972,conservative
2024,MediaExposure,None,0.8555335968379446,0.40124740124740127,0.3210903210903211,0.27142527142527145,0.8573122529644269,0.4077916090364223,0.34324573536191794,0.2425080682342093,-0.17786561264823142,-0.6544207789021039,-2.215541427159684,2.891720319106214,conservative
